"","filenames","","","","","","","","","","","","","","",""
"31","output_nomerge/nomerge72.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"32","output/merge36.nex.best_scheme.nex","SYM+I+G4: sia_pos1_sia_pos2_bdnf_pos2_bdnf_pos3_nxc_pos1,","TN+F+I+G4: sia_pos3,","TNe+I+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: nxc_pos2,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"33","output/merge91.nex.best_scheme.nex","SYM+I+G4: sia_pos1_bdnf_pos2_bdnf_pos3_nxc_pos1,","TIM3e+I+G4: sia_pos2_nxc_pos2,","TN+F+I+G4: sia_pos3_bdnf_pos1,","TN+F+G4: nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"34","output_nomerge/nomerge67.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"35","output_nomerge/nomerge43.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"36","output_nomerge/nomerge11.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"37","output_nomerge/nomerge54.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+I+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"38","output/merge48.nex.best_scheme.nex","SYM+I+G4: sia_pos1_sia_pos2_bdnf_pos2_nxc_pos1,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: bdnf_pos3_nxc_pos2,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"39","output/merge60.nex.best_scheme.nex","TVMe+I+G4: sia_pos1_sia_pos2_bdnf_pos2_bdnf_pos3_nxc_pos1,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: nxc_pos2,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"40","output_nomerge/nomerge31.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3+F+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TIM2e+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"41","output/merge72.nex.best_scheme.nex","SYM+I+G4: sia_pos1_bdnf_pos2_bdnf_pos3_nxc_pos1,","TIM3e+I+G4: sia_pos2_nxc_pos2,","TN+F+G4: sia_pos3,","K2P+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"42","output_nomerge/nomerge100.nex.best_scheme.nex","TNe+I+G4: sia_pos1,","JC+I+G4: sia_pos2,","TN+F+G4: sia_pos3,","K2P+I+G4: bdnf_pos1,","TVMe+I+G4: bdnf_pos2,","TIMe+I+G4: bdnf_pos3,","TIM2+F+I+G4: nxc_pos1,","TIM3e+I+G4: nxc_pos2,","TN+F+G4: nxc_pos3,","TPM2+I+G4: cyb_pos1,","GTR+F+I+G4: cyb_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TIM2+F+I+G4: nd4_pos1,","GTR+F+I+G4: nd4_pos2,","TN+F+ASC+G4: nd4_pos3;"
"43","output/merge58.nex.best_scheme.nex","SYM+I+G4: sia_pos1_sia_pos2_bdnf_pos2_nxc_pos1,","TN+F+I+G4: sia_pos3,","K2P+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: bdnf_pos3_nxc_pos2,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"44","output/merge20.nex.best_scheme.nex","GTR+F+I+G4: sia_pos1_bdnf_pos2_nxc_pos1,","GTR+F+I+G4: sia_pos2_bdnf_pos3_nxc_pos2,","HKY+F+I+G4: sia_pos3_bdnf_pos1,","TN+F+G4: nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"45","output/merge14.nex.best_scheme.nex","SYM+I+G4: sia_pos1_sia_pos2_bdnf_pos2_nxc_pos1,","TN+F+I+G4: sia_pos3,","TNe+I+G4: bdnf_pos1_nxc_pos3,","GTR+F+I+G4: bdnf_pos3_nxc_pos2,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
"46","output/merge23.nex.best_scheme.nex","GTR+F+I+G4: sia_pos1_bdnf_pos2_nxc_pos1,","TIMe+I+G4: sia_pos2_bdnf_pos3_nxc_pos2,","HKY+F+I+G4: sia_pos3_bdnf_pos1,","TN+F+G4: nxc_pos3,","GTR+F+I+G4: cyb_pos1_nd4_pos1,","GTR+F+I+G4: cyb_pos2_nd4_pos2,","TIM2+F+ASC+G4: cyb_pos3,","TN+F+ASC+G4: nd4_pos3;",NA,NA,NA,NA,NA,NA,NA
